Subway, presta1@gmail.com, subway.com/fr-FR,https, 07-44-56-42-13, passwd_presta1,0,1,1, aucun, aucun, https://media.discordapp.net/attachments/1019997748344406146/1061241164193337424/subway-21.png?width=707&height=471, aucune
Le camion qui fume, presta2@gmail.com, lecamionquifume.com,https, 07-44-57-42-13, passwd_presta2,1,2,1, aucun, aucun, https://cdn.discordapp.com/attachments/1019997748344406146/1061281073503408173/Le-Camion-qui-fume-7C-630x405-7C-C2A9-OTCP.png, aucune
Courtepaille, presta3@gmail.com, courtepaille.com,https, 07-44-58-42-13, passwd_presta3,0,3,1, aucun, aucun, https://cdn.discordapp.com/attachments/1019997748344406146/1061281074015117322/0a1afb22-a89e-48d0-bba2-9bd201c90fe0.png, aucune
La Citadelle de Belfort, presta4@gmail.com,belfort-tourisme.com/restaurant/cafe-restaurant-de-la-citadelle/,https, 07-44-58-42-13, passwd_presta4,0,4,1, aucun, aucun, https://cdn.discordapp.com/attachments/1019997748344406146/1061281074463899748/citadelle1-2.png, aucune
La Fontaine des Saveurs, presta5@gmail.com, lafontainedessaveurs.fr,http, 07-44-58-42-13, passwd_presta5,1,5,1, aucun, aucun, https://cdn.discordapp.com/attachments/1019997748344406146/1061281075059494953/309003782-16-2.png, aucune
Kart Shop France, presta6@gmail.com, kartshopfrance.com,https, 07-44-58-42-13, passwd_presta6,1,6,2, aucun, aucun, https://cdn.discordapp.com/attachments/1019997748344406146/1061281075432792064/KSP_000_0589.png, aucune
BasketBallers, presta7@gmail.com, basket4ballers.com/fr,https, 07-44-58-42-13, passwd_presta7,1,7,2, aucun, aucun, https://cdn.discordapp.com/attachments/1019997748344406146/1061281075818659930/P1160717-scaled.png, aucune
Decathlon, presta8@gmail.com,decathlon.fr,https, 07-44-58-42-13, passwd_presta8,1,0,2, aucun, aucun, https://cdn.discordapp.com/attachments/1019997748344406146/1061291731242459186/decat.png, aucune
SportsRaquettes, presta9@gmail.com, sportsraquettes.fr,https, 07-44-58-42-13, passwd_presta9,1,9,2, aucun, aucun, https://cdn.discordapp.com/attachments/1019997748344406146/1061281076191957008/5d360418400000de02d9a6e0_os.png, aucune
ProbikeShop, presta10@gmail.com, probikeshop.fr,https, 07-44-58-42-13, passwd_presta10,1,0,2, aucun, aucun, https://cdn.discordapp.com/attachments/1019997748344406146/1061281076674297976/Ambassade-Probikeshop-aCC80-Lyon-e1626191512882.png, aucune
Equitation Passion, presta11@gmail.com, equitationpassion.com,https, 07-44-58-42-13, passwd_presta11,1,11,3, aucun, aucun, https://cdn.discordapp.com/attachments/1019997748344406146/1061281081460011048/cavaliere-de-concours-a-domicile-hier-virginie-venon-est-surtout-organisatrice-et-patronne-de-l-ecole-d-equitation-de-manom-qui-porte-son-nom-photo-philippe-neu-1526039493.png, aucune
