public1, public1, public1@gmail.com, passwd_public1, 2, 1, 2, 1
public2, public2, public2@gmail.com, passwd_public2, 1, 2, 2, 3
public3, public3, public3@gmail.com, passwd_public3, 1, 3, 1, 5
jean, dupont, jd@gmail.com, jd, 1, 3, 2, 1
lucie, fernand, lf@gmail.com, lf, 1, 2, 1, 1
pierre, dupont, pidupon12@gmail.com, pidupont, 1, 2, 2, 1
giovanni, Rossi, gioro@gmail.com, gioro, 2, 4, 3, 2
markus, Schneider, markussch@gmail.com, markussch, 2, 2, 3, 3
john, Smith, johnsmi@gmail.com, johnsmi, 1, 3, 2, 5
hans, Müller, hansmu@gmail.com, hansmu, 1, 3, 2, 4
marie, Martin, mariemart@gmail.com, mariemart, 1, 1, 1, 1
sofia, Bianchi, sofiabian@gmail.com, sofiabian, 1, 2, 1, 2
sarah, Meyers, sarmey@gmail.com, sarmey, 1, 3, 3, 3
emily, Johnson, emiljohn@gmail.com, emiljohn, 1, 2, 1, 5
maria, Schmidt, mariasch@gmail.com, mariasch, 1, 3, 1, 4
thomas, Lefebvre, thomlef@gmail.com, thomlef, 1, 2, 2, 1
francesco, Romano, francroma@gmail.com, francroma, 2, 3, 2, 2
peter, Gautschi, petgaut@gmail.com, petgaut, 2, 3, 2, 3
william, Brown, willbrown@gmail.com, willbrown, 2, 3, 2, 5
karin, Fischer, karinfischer@gmail.com, karinfischer, 1, 4, 1, 4
matthieu, Charpentier, mattchar@gmail.com, mattchar, 1, 2, 2, 1
elena, Moretti, elemor@gmail.com, elemor, 1, 3, 1, 2
michael, Williams, michawill@gmail.com, michawill, 2, 2, 2, 5
beat, Friedli, beatfried@gmail.com, beatfried, 2, 3, 2, 3
lisa, Baumann, lisabaum@gmail.com, lisabaum, 2, 2, 1, 4
alexandre, Fabre, alexfab@gmail.com, alexfab, 1, 2, 2, 1
laura, Marino, lauramarino@gmail.com, lauramarino, 1, 2, 1, 2
ursula, Baumann, ursulbaum@gmail.com, ursulbaum, 1, 2, 1, 4
federico, Giodano, fedgioda@gmail.com, fedgioda, 2, 3, 2, 2
richard, Anderson, richander@gmail.com, richander, 1, 4, 2, 5
julie, Tremblay, julietrem@gmail.com, julietrem, 1, 2, 1, 1
thibault, Gagné, thibgag@gmail.com, thibgag, 1, 3, 1, 1
